title,gross
Psycho,"$32,000,000"
Public-Enemies,"$97,030,725"
Pulp-Fiction,"$107,930,000"
Punch-Drunk-Love,"$17,791,031"
Purple-Rain,
Quantum-Projec,
"Queen,-The","$8,805,918"
Queen-of-the-Damned,"$30,307,804"
Rachel-Getting-Married,"$12,796,277"
Raging-Bu,"$45,250"
Raising-Arizona,"$22,847,564"
Rambling-Rose,"$6,266,621"
"Reader,-The","$34,180,954"
Real-Genius,"$13,000,000"
Rear-Window,"$24,500,000"
Rebel-Without-A-Cause,
Red-Plane,"$17,473,245"
Red-Riding-Hood,"$37,652,565"
Reindeer-Games,"$23,360,779"
"Relic,-The","$33,927,476"
Remember-Me,"$19,057,024"
"Replacements,-The","$44,737,059"
Repo-Man,
"Rescuers-Down-Under,-The","$27,931,461"
Reservoir-Dogs,"$2,812,029"
"Revenant,-The","$183,635,922"
Revolutionary-Road,"$22,877,808"
Ringu,
Rise-of-the-Guardians,"$103,400,692"
Rise-of-the-Planet-of-the-Apes,"$176,740,650"
RKO-281,
"Road,-The","$68,525,609"
Robin-Hood-Prince-of-Thieves,"$165,500,000"
"Rock,-The",
RocknRolla,"$5,694,401"
"Rocky-Horror-Picture-Show,-The","$139,876,417"
Rocky,"$117,235,247"
Romeo-&-Julie,"$46,338,728"
Ronin,"$41,609,593"
"Roommate,-The",
Roughshod,
"Ruins,-The","$17,427,926"
Runaway-Bride,"$152,149,590"
Rus,
Rush-Hour-2,"$226,138,454"
Rush-Hour,
Rushmore,"$17,096,053"
Rust-and-Bone,"$2,061,449"
S.-Darko,
"Saint,-The","$387,606"
"Salton-Sea,-The","$676,698"
"Sandlot-Kids,-The","$32,416,586"
Save-the-Last-Dance,"$91,038,276"
Saving-Mr.-Banks,"$83,299,761"
Saving-Private-Ryan,"$216,119,491"
